Temperature_C,Pressure_hPa,AngleX,AngleY,AngleZ,AccX_g,AccY_g,AccZ_g,Altitude_m,label
32.36,975.97,-1.5,-4.12,-4359.52,0.062000000000000006,-0.006,0.986,315.14,0
32.46,976.16,-1.01,-1.83,-1109.93,0.024,0.0,0.994,313.51,0
32.23,975.39,-1.26,-1.05,-1754.17,0.012,-0.007000000000000001,0.989,320.12,0
30.38,975.45,-1.1,-0.71,-197.25,0.007,0.002,0.99,319.59,0
32.47,975.2,-9.14,-2.9299999999999997,-2921.49,0.263,0.156,1.02,321.69,1
32.46,975.3,-1.41,-5.95,-2712.55,0.095,-0.003000000000000001,0.981,320.9,1
20.56,975.01,-1.26,-3.3499999999999996,-4581.68,0.046,0.002,0.988,323.34,1
31.66,975.56,-1.12,1.8499999999999999,-2020.61,-0.042,0.002,0.996,318.63,0
31.89,975.92,-1.47,0.6299999999999999,-890.3400000000001,-0.017,-0.004,1.001,315.58,0
31.72,975.71,-1.21,-0.54,-1163.94,0.0010000000000000005,0.0009999999999999992,1.001,317.32,0
32.37,975.17,-1.35,-4.17,-3323.34,0.062000000000000006,-0.002,0.987,321.94,0
31.72,975.85,-1.57,0.6399999999999999,-2433.89,-0.021000000000000005,-0.008000000000000002,0.998,316.11,0
31.83,975.91,-1.49,0.6399999999999999,-1406.43,-0.019000000000000003,-0.0009999999999999992,0.994,315.66,0
32.42,975.27,-1.45,-5.97,-2748.04,0.095,-0.003000000000000001,0.977,321.13,1
33.9,976.06,-1.04,-1.63,-2687.62,0.019000000000000003,0.002,0.994,314.31,1
32.38,976.13,-1.0,-1.86,-1357.71,0.024,0.004,1.004,313.76,0
31.83,975.77,-1.24,-0.51,-736.76,-0.004,0.005,0.995,316.84,0
32.27,975.41,-1.28,-1.05,-1401.55,0.006,0.0,0.99,319.94,0
32.21,976.03,-1.08,-5.97,-3177.28,0.095,0.0,0.983,314.61,0
24.13,824.04,-1.59,0.51,-140.23000000000002,-0.008,0.0009999999999999992,0.996,1709.87,1
31.84,975.93,-1.51,0.6199999999999999,-1119.5,-0.016,-0.004,1.0,315.49,0
32.21,975.94,-1.39,-5.24,-3908.34,0.078,-0.004,0.985,315.41,0
30.7,975.46,-1.14,-0.63,-42.42000000000007,0.004,0.0,1.003,319.53,0
30.93,975.02,-1.19,0.1499999999999999,-5762.65,-0.012000000000000002,0.002,0.994,323.29,0
31.69,975.66,-1.23,-0.53,-1562.93,-0.001,-0.004,0.994,317.75,0
31.8,975.86,-1.57,0.6299999999999999,-1644.28,-0.019000000000000003,-0.004,0.997,316.03,0
31.98,974.99,-1.17,0.1399999999999999,-5873.73,-0.012000000000000002,-0.002,1.002,323.55,0
32.36,975.02,-1.29,-3.8199999999999994,-3971.95,0.05999999999999999,0.0,0.983,323.24,0
32.09,975.0,-1.15,0.17999999999999994,-5909.08,-0.012000000000000002,0.0,0.998,323.41,0
31.93,975.77,-1.14,-0.5,-651.3600000000001,0.005,0.003,0.996,316.83,0
31.73,975.87,-1.63,0.6500000000000001,-2495.4,-0.019000000000000003,-0.010999999999999998,0.987,315.98,0
10.650000000000002,971.26,-1.25,-3.540000000000001,-5381.43,0.052,-0.0009999999999999992,0.99,355.57,1
30.36,975.45,-1.15,-0.74,-148.3499999999999,0.007,0.0009999999999999992,0.996,319.55,0
32.38,975.43,51.28,-7.49,-2186.93,0.109,0.84,0.929,319.75,1
32.29,975.01,-1.25,-3.7799999999999994,-4164.46,0.054000000000000006,-0.0009999999999999992,0.987,323.35,0
31.71,975.78,-1.28,-0.58,-230.50000000000023,0.002,-0.002,0.998,316.71,0
32.46,976.1,-0.91,-6.35,-2802.83,0.103,0.003,0.985,314.0,0
32.88,975.78,-1.23,-0.49,-464.6600000000001,0.0,-0.0009999999999999992,0.997,316.77,0
32.65,976.18,-1.03,-0.27,-618.19,-0.007000000000000001,0.0009999999999999992,0.993,313.28,0
32.42,975.38,-12.54,-21.11,-2527.72,0.335,-0.101,0.769,320.18,1
31.69,975.83,-1.57,0.6199999999999999,-2645.5,-0.021000000000000005,-0.008000000000000002,0.994,316.31,0
32.26,975.98,-1.35,-5.28,-3856.3,0.085,0.0,0.986,315.03,0
33.91,976.2,-1.08,-0.20999999999999996,-148.77999999999997,-0.007000000000000001,-0.0009999999999999992,0.995,313.15,1
32.69,976.17,-1.05,-0.25,-504.36999999999966,-0.007000000000000001,0.003,0.99,313.43,0
30.38,975.5,-1.12,-0.74,-299.46000000000004,0.005,-0.002,0.992,319.13,0
32.28,975.05,-1.27,-3.79,-4514.43,0.057,0.0,0.981,323.01,0
33.43,975.44,-1.3,-6.44,-3010.87,0.104,0.002,0.98,319.68,0
32.91,975.85,-1.28,-0.47000000000000003,-262.01,-0.007000000000000001,-0.002,1.015,316.14,0
32.23,975.36,-1.3,-1.04,-1764.53,0.009,0.002,0.99,320.37,0
32.34,975.04,-1.26,-3.8,-4063.01,0.057,0.0009999999999999992,0.991,323.08,0
32.39,975.41,-1.64,5.75,-1953.91,-0.44100000000000006,-0.035,1.054,319.9,1
31.52,975.44,-1.33,-6.6,-2671.2,0.103,-0.0009999999999999992,0.983,319.67,0
32.21,975.44,-1.36,1.07,-962.1300000000001,-0.026999999999999996,-0.006,0.996,319.64,0
31.71,975.72,-1.32,-0.53,-1357.91,0.0010000000000000005,0.0,0.995,317.24,0
33.87,976.13,-1.06,-1.69,-2595.84,0.020999999999999998,0.0009999999999999992,0.989,313.71,1
31.53,975.44,-1.12,1.8299999999999998,-2503.26,-0.04,0.0009999999999999992,0.995,319.62,0
35.98,976.15,-1.12,-1.04,-2663.62,0.005,0.004,1.004,313.61,1
30.28,975.5,-1.11,-0.71,-323.8299999999999,0.008,0.004,0.985,319.1,0
31.77,975.84,-1.6,0.6100000000000001,-1863.46,-0.016,-0.004,1.002,316.23,0
32.43,975.99,-1.59,-3.9699999999999998,-3319.19,0.059,-0.008000000000000002,0.99,314.91,0
24.36,975.13,-1.27,-3.63,-4612.02,0.051,-0.002,0.984,322.36,1
31.73,975.72,-1.28,-0.54,-1088.7600000000002,-0.001,0.003,1.0,317.27,0
32.34,976.03,-1.06,-5.91,-3031.72,0.095,0.0,0.987,314.56,0
31.37,974.71,-1.1,-0.71,-522.7300000000002,0.005,0.004,0.987,325.92,0
32.16,975.96,-1.39,-5.26,-3991.7799999999997,0.084,-0.0009999999999999992,0.98,315.24,0
32.07,975.95,-1.5,-0.84,-178.81999999999994,0.002,-0.003000000000000001,1.001,315.29,0
32.11,975.1,-1.31,-3.76,-5107.89,0.057,-0.0009999999999999992,0.99,322.61,0
31.46,975.43,-1.29,-6.62,-2879.72,0.102,0.0,0.976,319.72,0
31.59,975.47,34.9,-3.880000000000001,-2541.06,-0.335,0.307,0.619,319.41,1
31.81,975.91,-1.5,0.6100000000000001,-1229.99,-0.019999999999999997,-0.004999999999999999,1.003,315.64,0
24.13,824.04,-1.64,0.5799999999999998,-49.02000000000021,-0.01,0.0009999999999999992,0.998,1709.87,1
31.46,975.45,-1.2,-0.56,-139.49,0.003,0.003,0.995,319.6,0
31.99,975.94,-8.059999999999999,28.18,-537.1399999999999,-0.291,0.398,1.409,315.4,1
23.72,975.12,-1.24,-3.6399999999999997,-4680.71,0.054000000000000006,0.002,0.984,322.37,1
31.45,975.41,-1.27,-6.61,-2775.6,0.107,0.0,0.986,319.94,0
32.14,976.0,-1.0,-5.43,-3662.79,0.087,0.0009999999999999992,0.978,314.85,0
32.36,975.05,-1.29,-3.8,-3961.83,0.055,-0.004,0.985,322.99,0
32.0,975.96,-1.53,-0.81,-410.80999999999995,0.01,-0.003000000000000001,0.991,315.21,0
31.73,975.72,-1.24,-0.52,-1131.72,-0.001999999999999999,-0.004,0.992,317.24,0
22.58,975.06,-1.2,-3.34,-4586.68,0.049,-0.0009999999999999992,0.985,322.93,1
18.03,970.68,-1.14,-0.62,-483.6399999999999,0.002,0.0,0.988,360.61,1
31.81,975.94,-1.52,0.5999999999999999,-1235.02,-0.019000000000000003,-0.007000000000000001,0.993,315.33,0
31.83,975.93,-1.5,0.6500000000000001,-1159.53,-0.021000000000000005,-0.009,0.998,315.48,0
31.87,975.89,-1.44,0.6199999999999999,-1024.63,-0.019999999999999997,-0.004999999999999999,1.005,315.83,0
34.81,975.9,-1.35,0.28,-301.5,-0.029000000000000005,-0.008000000000000002,0.997,315.74,1
32.46,976.16,-1.04,-1.87,-1195.09,0.025,-0.002,0.994,313.47,0
32.41,975.07,-1.3,-3.8199999999999994,-3926.2,0.053,-0.002,0.989,322.85,0
30.57,975.0,-1.17,0.15999999999999992,-5727.34,-0.01,-0.0009999999999999992,0.996,323.43,0
32.43,975.06,-1.33,-3.8099999999999996,-3718.08,0.056,-0.003000000000000001,0.991,322.94,0
31.82,975.89,-1.49,0.6299999999999999,-1401.38,-0.021999999999999992,-0.004,1.003,315.84,0
32.32,975.02,-1.32,-3.8199999999999994,-4042.74,0.057,0.0009999999999999992,0.994,323.31,0
32.14,975.44,-1.13,-0.87,-773.78,0.007,0.002,0.997,319.68,0
24.13,824.04,-1.56,-0.16000000000000003,-535.76,0.006,0.003,0.995,1709.87,1
32.21,976.15,-1.03,-1.81,-2388.24,0.025,0.0009999999999999992,0.993,313.6,0
32.19,976.01,-1.09,-5.980000000000001,-3167.28,0.096,0.0,0.981,314.76,0
21.67,975.35,-1.12,-0.64,-387.02,0.003,-0.003000000000000001,0.995,320.45,1
31.72,975.88,-1.61,0.6199999999999999,-2454.38,-0.024,-0.003000000000000001,0.994,315.92,0
32.48,976.05,-0.92,-6.31,-2783.44,0.103,0.005,0.986,314.43,0
32.3,975.03,-1.28,-3.8199999999999994,-4134.03,0.057,-0.003000000000000001,0.982,323.16,0
32.82,976.17,-1.05,-0.27,-419.90999999999985,-0.004999999999999999,-0.0009999999999999992,1.0,313.42,0
34.03,975.83,-1.28,-0.51,-432.3600000000001,-0.001,0.002,0.992,316.32,1
32.41,975.99,-1.15,-5.35,-3410.78,0.083,-0.002,0.988,314.93,0
31.84,975.92,-1.51,0.6399999999999999,-1089.36,-0.017,-0.008000000000000002,0.999,315.57,0
32.38,976.14,-1.05,-1.82,-1462.77,0.025999999999999995,0.003,0.994,313.61,0
35.58,976.25,-1.01,-0.20999999999999996,-199.30999999999972,-0.008,0.002,0.999,312.71,1
31.82,975.87,-1.52,0.6299999999999999,-1351.18,-0.019000000000000003,-0.006,1.001,315.97,0
32.35,975.12,-1.38,-4.16,-3358.48,0.063,-0.002,0.981,322.43,0
32.38,975.42,-3.59,53.06,-1964.79,-0.887,0.005,0.635,319.87,1
32.03,975.98,-1.48,-0.8,-343.14999999999986,0.003,-0.009,0.989,315.06,0
32.22,976.02,-1.01,-5.42,-3603.76,0.085,0.0,0.988,314.71,0
31.93,975.46,-1.1,-0.8,-188.51,0.006,0.002,0.994,319.45,0
32.36,975.95,-1.56,-4.82,-4458.73,0.075,-0.004,0.99,315.3,0
32.09,975.11,-1.28,-3.7199999999999998,-5082.41,0.054000000000000006,0.0,0.987,322.48,0
32.17,975.96,-1.41,-0.7,2.349999999999909,0.003,-0.002,0.983,315.21,0
31.08,975.46,-1.15,-0.54,-65.69000000000028,-0.001,0.004,1.003,319.46,0
32.54,975.77,-1.23,-0.51,-486.23,-0.004,0.002,0.998,316.81,0
32.33,975.96,-1.5,-2.65,-4229.23,0.033,-0.006,0.994,315.21,0
32.04,975.49,-1.12,-0.85,-602.29,0.006,0.002,0.992,319.2,0
32.02,975.96,-1.44,-0.79,-420.4000000000001,0.007,-0.008000000000000002,0.997,315.22,0
32.39,975.04,-60.04,-33.66,-3754.0,0.607,0.082,1.635,323.08,1
36.03,975.51,-1.41,-5.9,-2979.11,0.09,-0.0009999999999999992,0.978,319.09,1
32.55,976.2,-1.02,-1.88,-982.26,0.023,-0.0009999999999999992,0.994,313.14,0
31.73,975.7,-1.2,-0.53,-1078.05,0.002,0.0009999999999999992,0.991,317.41,0
24.13,824.04,-1.52,-0.14,-537.76,0.003,0.004,0.997,1709.87,1
31.78,975.72,-1.22,-0.52,-859.54,0.004,0.0009999999999999992,0.996,317.29,0
32.23,976.18,-1.04,-1.81,-2026.06,0.027999999999999997,0.002,0.996,313.31,0
32.56,976.19,-1.06,-0.24,-751.8899999999999,-0.001999999999999999,0.0009999999999999992,0.997,313.22,0
32.07,975.48,-1.13,-0.88,-647.54,0.005,0.0009999999999999992,0.999,319.36,0
32.43,975.09,-1.26,-3.8,-3865.07,0.058,-0.004,0.981,322.67,0
32.36,975.38,-1.58,-0.27,-2411.37,-0.004,-0.002,1.0,320.14,0
31.75,975.86,-1.6,0.6100000000000001,-2022.41,-0.019000000000000003,-0.004999999999999999,0.997,316.07,0
32.38,976.12,-1.05,-1.83,-1348.19,0.024,0.0009999999999999992,0.993,313.82,0
32.05,975.47,-1.12,-0.84,-541.9199999999998,0.007,0.006,0.994,319.38,0
27.02,974.98,-1.26,-3.6899999999999995,-5432.56,0.054000000000000006,-0.003000000000000001,0.991,323.58,0
32.18,976.15,-1.04,-1.7800000000000002,-2441.5,0.025999999999999995,0.0009999999999999992,0.991,313.54,0
31.88,975.94,-1.44,0.6100000000000001,-855.6500000000001,-0.021999999999999992,-0.003000000000000001,0.999,315.38,0
32.37,975.41,-1.54,-0.32000000000000006,-2326.85,-0.002999999999999999,-0.003000000000000001,0.992,319.96,0
31.8,975.88,-1.51,0.5999999999999999,-1557.77,-0.018000000000000002,-0.004999999999999999,0.991,315.87,0
32.22,975.45,-1.38,1.04,-886.3800000000001,-0.025,-0.0009999999999999992,1.0,319.6,0
32.11,975.93,-1.49,-0.81,-111.01000000000022,0.002,-0.004,0.997,315.48,0
34.5,976.12,-1.65,-4.52,-3724.32,0.069,0.016,1.001,313.82,0
34.63,975.52,-1.31,-5.27,-2926.19,0.089,0.0009999999999999992,0.976,318.98,0
31.75,975.82,-1.58,0.6399999999999999,-1991.6,-0.021999999999999992,-0.008000000000000002,1.001,316.41,0
32.28,975.94,-1.48,-2.78,-4340.87,0.043,-0.004999999999999999,0.995,315.34,0
32.25,976.13,-1.02,-1.82,-1772.07,0.023,-0.003000000000000001,0.988,313.76,0
31.98,975.12,-1.28,-3.7199999999999998,-5041.71,0.058,0.0,0.981,322.42,0
32.46,976.16,-1.04,-1.9,-1190.33,0.023,-0.002,0.994,313.47,0
31.54,975.43,-1.29,-6.57,-2587.52,0.108,-0.0009999999999999992,0.981,319.76,0
32.22,975.41,-1.3,-1.03,-1479.5,0.009,-0.0009999999999999992,0.991,319.91,0
31.95,975.51,-1.11,-0.82,-258.8399999999999,0.005,-0.002,1.0,319.09,0
31.7,975.9,-1.58,0.6500000000000001,-2754.4,-0.019000000000000003,-0.006,0.996,315.67,0
32.26,976.17,-1.03,-1.84,-1954.01,0.023,0.003,0.991,313.4,0
31.69,975.85,-1.61,0.6299999999999999,-2692.19,-0.021000000000000005,-0.007000000000000001,0.994,316.13,0
32.3,976.05,-0.88,-6.33,-2952.64,0.09899999999999999,0.003,0.986,314.46,0
32.41,976.05,-0.95,-6.34,-2822.26,0.103,0.002,0.983,314.44,0
31.73,975.8,-1.59,0.6299999999999999,-2099.45,-0.019999999999999997,-0.004,1.003,316.56,0
31.78,975.86,-1.57,0.6299999999999999,-1694.95,-0.021999999999999992,-0.006,0.997,316.02,0
32.44,975.04,-1.29,-3.79,-3738.35,0.053,-0.0009999999999999992,0.981,323.13,0
32.44,975.05,-1.33,-3.8,-3916.07,0.053,-0.004999999999999999,0.976,323.01,0
32.46,976.16,-1.05,-1.87,-1219.02,0.023,0.002,0.988,313.48,0
32.24,975.39,-1.29,-1.07,-1593.64,0.009,-0.003000000000000001,0.996,320.1,0
31.56,975.49,-1.17,1.82,-2375.62,-0.042,-0.003000000000000001,1.002,319.24,0
32.49,976.05,-0.96,-6.1000000000000005,-2773.85,0.1,0.0009999999999999992,0.987,314.42,0
31.44,975.48,-1.19,-0.53,-33.9699999999998,-0.001999999999999999,0.0009999999999999992,0.995,319.29,0
36.2,975.48,-1.42,-4.99,-2961.27,0.074,0.0009999999999999992,0.975,319.28,1
30.37,975.47,-1.14,-0.74,-143.40000000000032,0.009,-0.004999999999999999,1.0,319.37,0
32.31,976.07,-0.94,-6.34,-2918.91,0.096,-0.004,0.988,314.24,0
32.19,975.99,-1.0,-5.42,-3618.47,0.082,0.003,0.988,314.92,0
31.73,975.79,-1.29,-0.55,-155.32999999999993,0.002,0.003,0.995,316.68,0
31.85,975.92,-1.48,0.6500000000000001,-1074.42,-0.019000000000000003,-0.007000000000000001,0.997,315.58,0
32.34,975.11,-1.3,-4.14,-3489.08,0.065,-0.006,0.986,322.5,0
31.47,975.46,-1.28,-6.62,-2723.48,0.109,0.0009999999999999992,0.974,319.51,0
32.42,976.16,-0.99,-1.84,-1285.94,0.022,0.0009999999999999992,0.995,313.51,0
29.89,975.49,-1.13,-0.7,-284.7800000000002,0.005,-0.003000000000000001,0.995,319.26,0
35.17,976.14,-1.1,-1.68,-2622.98,0.022,0.0009999999999999992,0.997,313.66,1
32.37,975.92,-1.39,-5.26,-3814.73,0.08,-0.004,0.988,315.51,0
31.65,975.64,-1.32,-0.58,-1659.52,-0.001999999999999999,0.0,0.995,317.91,0
32.19,976.11,-1.04,-1.77,-2436.66,0.025,-0.002,0.992,313.6,0
25.68,975.47,-1.13,-0.68,-421.1300000000001,0.004,-0.002,0.988,319.39,1
32.36,976.14,-0.98,-1.85,-1414.91,0.023,0.004,0.989,313.61,0
32.96,975.48,-1.11,-0.53,-6.960000000000036,0.0010000000000000005,0.004,0.995,319.33,0
32.65,976.18,-1.05,-0.26,-637.1799999999998,-0.002999999999999999,0.002,0.998,313.35,0
32.39,975.41,-1.34,-8.45,-1987.63,0.136,-0.002,0.968,319.95,1
31.69,975.91,-1.61,0.6299999999999999,-2619.56,-0.018000000000000002,-0.004999999999999999,0.993,315.64,0
31.94,975.76,-1.22,-0.49,-646.0799999999999,0.0010000000000000005,0.0,0.999,316.94,0
32.59,976.17,-1.09,-0.25,-732.56,-0.001999999999999999,0.0,0.997,313.38,0
30.06,975.48,-1.1,-0.73,-182.6199999999999,0.0010000000000000005,0.003,0.991,319.35,0
32.44,975.98,-1.44,-2.91,-4246.09,0.041,-0.003000000000000001,0.99,315.03,0
31.67,975.79,-1.59,0.6399999999999999,-2873.98,-0.021000000000000005,-0.007000000000000001,0.99,316.62,0
31.92,975.48,-1.1,-0.81,-213.59999999999968,0.006,0.0,0.999,319.29,0
32.37,974.98,-1.28,-3.8199999999999994,-3987.13,0.056,-0.002,0.992,323.6,0
32.45,975.08,-1.31,-3.79,-3824.5,0.054000000000000006,-0.003000000000000001,0.977,322.73,0
31.98,975.92,-1.42,0.6399999999999999,-674.4200000000001,-0.021000000000000005,-0.004999999999999999,0.995,315.52,0
28.36,974.99,-1.28,-3.710000000000001,-5478.41,0.057,0.0,0.988,323.53,0
32.31,976.14,-0.97,-1.83,-1587.02,0.020999999999999998,0.002,0.994,313.68,0
32.19,975.41,-1.33,1.09,-1092.97,-0.029000000000000005,-0.003000000000000001,1.005,319.91,0
32.21,976.0,-0.86,-5.63,-3587.82,0.086,0.004,0.986,314.84,0
10.27,973.48,-1.27,-3.63,-5391.72,0.05,-0.002,0.99,336.46,1
32.8,976.21,-1.03,-0.27,-434.0200000000002,-0.007000000000000001,0.0009999999999999992,0.994,313.08,0
32.56,976.2,-1.07,-0.25,-780.8200000000002,-0.007000000000000001,0.005,0.995,313.16,0
32.34,975.05,-1.28,-3.8,-4321.79,0.057,-0.006,0.986,322.99,0
31.74,975.74,-1.23,-0.54,-1072.7,-0.001,-0.0009999999999999992,0.998,317.09,0
32.21,976.01,-1.07,-5.96,-3152.16,0.09399999999999999,0.003,0.979,314.77,0
32.25,975.42,-1.22,-1.02,-1443.24,0.008,0.002,0.992,319.82,0
31.9,975.87,-1.44,0.6399999999999999,-905.23,-0.018000000000000002,-0.004999999999999999,0.995,315.95,0
32.65,976.18,-1.1,-0.54,-46.51000000000022,0.0,0.002,0.995,313.29,0
31.82,975.73,-1.29,-0.53,-752.76,-0.002999999999999999,0.003,0.993,317.13,0
31.71,975.71,-1.24,-0.52,-1271.6999999999998,0.004,-0.002,1.002,317.36,0
31.72,975.82,-1.62,0.6100000000000001,-2238.65,-0.021000000000000005,-0.003000000000000001,0.995,316.44,0
32.27,976.01,-1.1,-5.43,-3440.72,0.085,0.002,0.983,314.75,0
31.81,975.9,-1.5,0.6199999999999999,-1275.5,-0.023,-0.006,0.996,315.75,0
32.41,975.44,-1.3,-8.44,-2107.17,0.135,-0.004,0.973,319.69,1
32.11,975.49,-1.12,-0.86,-733.3899999999999,0.004,0.004,0.989,319.27,0
31.69,975.63,-1.29,1.9699999999999995,-1876.76,-0.044,-0.0009999999999999992,0.997,318.02,0
31.59,975.52,-1.17,1.82,-2247.19,-0.043,-0.0009999999999999992,0.993,318.95,0
31.82,975.89,-1.51,0.6500000000000001,-1341.06,-0.016,-0.004999999999999999,0.993,315.82,0
35.1,975.49,-1.16,-0.19999999999999996,-29.7199999999998,-0.004,0.0009999999999999992,0.994,319.21,0
34.43,976.12,-1.03,-1.64,-2677.79,0.019999999999999997,0.002,0.989,313.84,1
35.94,975.87,-1.31,0.07999999999999996,-373.1700000000001,-0.021000000000000005,-0.003000000000000001,1.008,316.01,1
32.31,975.93,-1.65,-4.87,-4532.31,0.077,-0.007000000000000001,0.989,315.41,0
31.77,975.71,-1.24,-0.53,-1024.47,0.0,-0.002,0.996,317.33,0
32.2,975.96,-1.43,-5.23,-4202.08,0.084,-0.003000000000000001,0.987,315.23,0
32.36,976.06,-0.91,-6.33,-2841.68,0.103,0.003,0.978,314.34,0
34.22,975.86,-1.28,-0.51,-322.5899999999999,0.003,0.0009999999999999992,0.996,316.06,1
32.3,975.97,-1.6,-4.83,-4596.08,0.071,-0.010999999999999998,0.99,315.12,0
31.72,975.8,-1.66,0.6100000000000001,-2166.56,-0.014999999999999998,-0.01,1.003,316.56,0
31.7,975.85,-1.57,0.6500000000000001,-2583.35,-0.019999999999999997,-0.006,0.993,316.13,0
32.45,975.27,-1.43,-5.95,-2727.76,0.096,-0.0009999999999999992,0.972,321.08,1
32.34,975.14,-1.33,-4.15,-3348.46,0.067,-0.002,0.99,322.25,0
32.05,975.49,-1.16,-0.84,-511.5999999999999,0.004,0.003,0.997,319.2,0
31.42,975.45,-1.25,-6.61,-2853.6,0.104,0.003,0.981,319.58,0
29.06,975.23,-1.24,-3.7199999999999998,-4747.03,0.054000000000000006,-0.003000000000000001,0.989,321.46,0
32.22,976.18,-1.01,-1.82,-2190.21,0.019999999999999997,-0.0009999999999999992,0.993,313.34,0
29.96,974.98,-0.45999999999999996,-3.84,-5666.66,0.052,-0.004,0.985,323.64,1
31.83,975.89,-1.53,0.6599999999999997,-1184.72,-0.019000000000000003,-0.004999999999999999,0.991,315.82,0
31.15,974.95,-1.15,0.1399999999999999,-5787.8099999999995,-0.008,-0.002,0.999,323.83,0
32.07,975.99,-1.44,-0.82,-183.6300000000001,0.01,-0.004,0.996,314.98,0
31.92,975.44,-1.27,-6.46,-3078.59,0.106,-0.004,0.978,319.63,0
32.12,975.91,-1.41,-5.27,-4143.03,0.08,-0.0009999999999999992,0.983,315.6,0
32.23,976.19,-1.08,-1.82,-2050.21,0.023,-0.0009999999999999992,0.987,313.25,0
31.99,975.73,-1.24,-0.52,-598.24,-0.002999999999999999,0.0,0.994,317.15,0
30.33,975.47,-1.07,-0.73,-163.01999999999975,0.005,0.002,0.993,319.43,0
32.06,975.52,-1.14,-0.84,-506.54999999999995,0.006,0.003,0.992,319.0,0
32.32,975.05,-1.22,-3.8199999999999994,-4083.26,0.059,-0.003000000000000001,0.988,323.01,0
32.68,976.18,-1.0,-0.26,-518.51,-0.004999999999999999,0.004,0.992,313.32,0
32.4,976.02,-1.12,-5.36,-3415.77,0.087,0.0,0.982,314.69,0
25.38,974.97,-1.24,-3.6799999999999997,-5417.28,0.054000000000000006,0.002,0.989,323.52,1
31.71,975.8,-1.31,-0.56,-182.07999999999993,0.002,-0.0009999999999999992,0.998,316.53,0
31.67,975.82,-1.62,0.6399999999999999,-2853.17,-0.019000000000000003,-0.004,0.998,316.37,0
32.21,976.16,-1.05,-1.83,-2301.31,0.023,0.0,0.992,313.48,0
31.68,975.62,-1.24,-0.53,-1589.78,0.002,0.002,0.994,318.08,0
32.29,976.14,-1.02,-1.84,-1615.37,0.023,0.0009999999999999992,0.988,313.63,0
31.72,975.84,-1.61,0.6199999999999999,-2228.33,-0.019999999999999997,-0.008000000000000002,0.992,316.23,0
32.38,975.06,-1.25,-3.79,-4377.54,0.057,0.002,0.985,322.93,0
32.47,975.05,-1.25,-3.79,-3905.8200000000006,0.057,0.0,0.985,323.04,0
31.63,975.42,-1.13,-0.48,-6.9699999999998,-0.001999999999999999,0.0,0.998,319.79,0
33.06,976.16,-1.02,-0.25,-321.53,-0.001999999999999999,0.003,0.995,313.45,0
31.66,975.6,-1.13,1.8699999999999999,-2046.3,-0.04,0.0,1.0,318.3,0
32.26,975.4,-1.27,-1.04,-1432.86,0.011,0.004,0.994,320.0,0
32.36,975.02,-144.67,-54.61,-3647.28,0.813,0.064,-0.30699999999999994,323.23,1
31.48,975.41,-1.33,-6.58,-2890.25,0.10499999999999998,0.002,0.986,319.9,0
32.41,975.03,-1.27,-3.79,-4382.59,0.056,0.0,0.979,323.18,0
33.48,976.04,-1.72,-4.55,-3718.74,0.07,-0.01,1.005,314.5,0
32.46,975.26,-1.47,-5.980000000000001,-2824.05,0.095,-0.003000000000000001,0.976,321.17,1
